place_overall,place_gender,place_category,name,club,runner_number,category_runner,event,half,finish,year,category
–,–,–,"MAHAMED, Zakariya (GBR)",Southampton,14,18-39,Elite,–,–,2023,mass
–,–,–,"MCCOLGAN, Eilish (GBR)",Dundee Hawkhill,40,18-39,Elite,–,–,2023,mass
–,–,–,"MCCORMICK, Tessa (GBR)",Vale Royal,54,18-39,Elite,–,–,2023,mass
22,2,2,"MEGERTU, Alemu (ETH)",–,69,18-39,Elite,01:08:29,02:18:37,2023,mass
–,–,–,"MELLOR, Jonny (GBR)",Liverpool,4,18-39,Elite,–,–,2023,mass
–,–,–,"MENGES, Tewelde (GBR)",Medway & Maidstone,20,18-39,Elite,–,–,2023,mass
–,–,–,"MILLAR, Jack (GBR)",Bristol & West,18,18-39,Elite,–,–,2023,mass
18,18,16,"MILNE, Alex (GBR)",Hercules Wimbledon,29,18-39,Elite,01:07:50,02:16:30,2023,mass
–,–,–,"MITCHELL, Naomi (GBR)",Reading AC,47,18-39,Elite,–,–,2023,mass
31,23,20,"MONROE, Alex (USA)",N/A,24,18-39,Elite,01:05:15,02:22:00,2023,mass
–,–,–,"MURRAY, Rebecca (GBR)",Bedford & County,53,18-39,Elite,–,–,2023,mass
–,–,–,"PARTRIDGE, Lily (GBR)",Aldershot Farnham & District,46,18-39,Elite,–,–,2023,mass
37,13,13,"PASHLEY, Ellie (AUS)",–,72,18-39,Elite,01:13:18,02:29:37,2023,mass
–,–,–,"REID, Lucy (GBR)",Tonbridge,45,18-39,Elite,–,–,2023,mass
26,21,3,"RICHMOND, Ronnie (GBR)",Bideford,27,40-44,Elite,01:07:50,02:19:00,2023,mass
7,7,7,"ROBINSON, Brett (AUS)",–,11,18-39,Elite,01:03:38,02:10:19,2023,mass
–,–,–,"ROWE, Jack (GBR)",Aldershot Farnham & District,3,18-39,Elite,–,–,2023,mass
–,–,–,"SANDISON, Charlie (GBR)",Fulham,17,18-39,Elite,–,–,2023,mass
36,12,12,"SCOTT, Dominique (RSA)",–,79,18-39,Elite,01:12:15,02:29:19,2023,mass
–,–,–,"SCOTT, Marc (GBR)",Richmond & Zetland,2,18-39,Elite,–,–,2023,mass
8,8,8,"SESEMANN, Phil (GBR)",Leeds,20,18-39,Elite,01:05:13,02:10:23,2023,mass
–,–,–,"SESEMANN, Phil (GBR)",Leeds City,7,18-39,Elite,–,–,2023,mass
–,–,–,"SHARP, Matt (GBR)",Ryde,19,18-39,Elite,–,–,2023,mass
–,–,–,"SKELTON, Ross (GBR)",HY Runners,23,18-39,Elite,–,–,2023,mass
21,20,18,"STEWART, Fraser (GBR)",Cumbuslang,31,18-39,Elite,01:07:49,02:18:34,2023,mass
